id,name,city,state,holes,access
115,Marcum Golf Course,Empire,AL,18,Public
116,Enterprise Country Club,Enterprise,AL,18,Private
117,Tartan Pines Golf Club,Enterprise,AL,18,Public
118,Lake Point Resort State Park Golf Course,Eufaula,AL,18,Municipal
119,Eufaula Country Club,Eufaula,AL,18,Private
120,Red Eagle Golf Course,Eufaula,AL,18,Public
121,Greene County Golf Course,Eutaw,AL,9,Municipal
122,Evergreen Golf Course,Evergreen,AL,9,Public
123,Quail Creek Golf Course,Fairhope,AL,18,Municipal
124,Rock Creek Golf Club,Fairhope,AL,18,Public
125,Fayette Country Club,Fayette,AL,9,Private
126,Dogwood Hills Golf Club,Flat Rock,AL,18,Public
127,Blackberry Trail Golf Course,Florence,AL,18,Municipal
128,Florence Golf & Country Club,Florence,AL,18,Private
129,Glenlakes Golf Club,Foley,AL,27,Public
130,Gulf Links Executive Golf Course,Foley,AL,18,Public
131,Magnolia Springs Golf,Foley,AL,9,Public
132,De Soto Country Club,Fort Payne,AL,9,Private
133,Terrapin Hills Country Club,Fort Payne,AL,18,Private
134,Silver Wings Golf Course,Fort Rucker,AL,54,Public
135,Twin Bridges Golf Course,Gadsden,AL,18,Municipal
136,Gadsden Country Club,Gadsden,AL,18,Private
137,River Trace Golf Club,Gadsden,AL,18,Public
138,Castle Pines Country Club,Gardendale,AL,18,Public
139,River Oaks Golf Course,Geneva,AL,9,Public
140,Briarmeade Golf Course,Glencoe,AL,18,Private
141,The Robert Trent Jones Golf Trail At Silver Lake,Glencoe,AL,54,Public
142,The Robert Trent Jones Golf Trail Par 3 At Silver Lake,Glencoe,AL,9,Public
143,Hatchett Creek Golf Course,Goodwater,AL,9,Public
144,Mountain View Golf Course,Graysville,AL,45,Public
145,Lakeview Country Club,Greensboro,AL,9,Public
146,Greenville Country Club,Greenville,AL,9,Private
147,The Robert Trent Jones Golf Trail At Cambrian Ridg,Greenville,AL,63,Public
148,Pikeville Country Club,Guin,AL,18,Private
149,Gulf State Park Golf Course,Gulf Shores,AL,18,Municipal
150,Craft Farms Golf Resort,Gulf Shores,AL,36,Public
151,Kiva Dunes,Gulf Shores,AL,18,Public
152,Peninsula Golf & Racquet Club,Gulf Shores,AL,54,Public
153,The Golf Club of the Wharf,Gulf Shores,AL,18,Public
154,Lake Guntersville State Park Golf Course,Guntersville,AL,18,Municipal
155,Gunter's Landing,Guntersville,AL,18,Public
156,Stoney Mountain Golf Course,Guntersville,AL,18,Public
157,Haleyville Country Club,Haleyville,AL,18,Private
158,Cullman Municipal Golf Club,Hanceville,AL,18,Municipal
159,Quail Creek Golf Course & Conference Center,Hartselle,AL,18,Public
160,Harvest Hills,Harvest,AL,18,Public
161,Plantation Golf Club,Hayden,AL,27,Public
162,Headland Country Club,Headland,AL,9,Public
163,Silver Ridge Golf Club,Horton,AL,18,Public
164,Huntsville Municipal Golf Course,Huntsville,AL,18,Municipal
165,Huntsville Country Club,Huntsville,AL,18,Private
166,Valley Hill Country Club,Huntsville,AL,27,Private
167,Redstone Golf Course,Huntsville,AL,45,
168,The Ledges Country Club,Huntsville,AL,18,
169,Monrovia Golf Course,Huntsville,AL,18,Public
170,Sunset Landing Golf Course,Huntsville,AL,18,Public
171,Silver King Golf Club,Irvington,AL,18,Public
172,Jackson Links Golf Course,Jackson,AL,9,Public
173,Lake Winds Golf Course,Jacksons Gap,AL,18,Municipal
174,Stoney Brook Golf Course,Jacksonville,AL,18,Public
175,Musgrove Country Club,Jasper,AL,18,
176,Curry Golf Course,Jasper,AL,9,Public
177,Bear Branch Golf Club,Jasper,AL,9,Public
178,Turtle Point Yacht & Country Club,Killen,AL,18,Private
179,Riverside Country Club,Lanett,AL,9,Public
180,Linden Country Club,Linden,AL,18,Private
181,Livingston Country Club,Livingston,AL,9,Private
182,Steelwood Country Club,Loxley,AL,18,Private
183,Crenshaw County Rec Club,Luverne,AL,9,Private
184,Marion Military Institute Golf Course,Marion,AL,9,Public
185,Cypress Tree Golf Courses,Montgomery,AL,36,
186,Lakeview Country Club,McCalla,AL,9,Public
187,Cloudmont Ski & Golf Resort,Mentone,AL,9,Public
188,Colonial Golf Course,Meridianville,AL,18,Public
189,Fox Run Golf Course,Meridianville,AL,18,Public
190,The Pines Golf Club,Millbrook,AL,18,Municipal
191,Azalea City Golf Course,Mobile,AL,18,Municipal
192,Gulf Pines Golf Club,Mobile,AL,18,Municipal
193,Magnolia Grove Golf Club,Mobile,AL,54,Municipal
194,Country Club of Mobile,Mobile,AL,27,Private
195,Heron Lakes Country Club,Mobile,AL,18,Private
196,Spring Hill College Golf Course,Mobile,AL,18,Public
197,Vanity Fair Golf & Tennis Club,Monroeville,AL,18,Private
198,Montevallo Golf Club,Montevallo,AL,18,Municipal
199,Gateway Park Executive Golf Course,Montgomery,AL,18,Municipal
200,Lagoon Park Golf Course,Montgomery,AL,18,Municipal
201,Arrowhead Golf & Country Club,Montgomery,AL,18,Private
202,Bonnie Crest Country Club,Montgomery,AL,18,
203,Montgomery Country Club,Montgomery,AL,18,
204,Wynlakes Golf & Country Club,Montgomery,AL,18,
205,Cottonwood Golf Club,Montgomery,AL,18,Public
206,Magnolia Golf Club,Montgomery,AL,18,Public
207,Tallapoosa Lakes Golf Course,Montgomery,AL,36,Public
208,Green Briar Golf Course,Morris,AL,18,Public
209,Deer Run Golf Course,Moulton,AL,18,Municipal
210,Cypress Lakes Golf & Country Club,Muscle Shoals,AL,18,Public
211,The Shoals Golf Club,Muscle Shoals,AL,36,Public
212,Hidden Meadows Golf Course,Northport,AL,18,Public
213,Heritage Golf Course,Oneonta,AL,18,Public
214,Limestone Springs Golf Club,Oneonta,AL,18,Public
215,Whispering Pines Golf Club,Oneonta,AL,18,Public
216,Saugahatchee Country Club,Opelika,AL,18,Private
217,Grand National Golf Course,Opelika,AL,54,Public
218,Opp Country Club,Opp,AL,9,Private
219,Orange Beach Golf Center,Orange Beach,AL,9,Municipal
220,The Robert Trent Jones Golf Trail@ Hampton Cove,Owens Cross Roads,AL,54,Public
221,Cider Ridge Golf Club,Oxford,AL,18,Public
222,Ozark Country Club,Ozark,AL,18,Public
223,Ballantrae Golf Course,Pelham,AL,18,Municipal
224,Oak Mt State Park Golf Course,Pelham,AL,27,Municipal
225,Pell City Country Club,Pell City,AL,18,Private
226,Pine Harbor Golf & Racquet Club,Pell City,AL,18,
227,Lakewood Golf Course,Phenix City,AL,18,Municipal
228,Cumberland Lake Country Club,Pinson,AL,18,Public
229,Marriott Lakewood Golf Club,Point Clear,AL,36,
230,Prattville Country Club,Prattville,AL,18,Private
231,Capitol Hill Golf Course,Prattville,AL,54,Public
232,Hidden Oaks Golf Club,Rainbow City,AL,9,Public
233,Hidden Oaks Par 3 Golf Course,Rainbow City,AL,9,Public
234,Rainsville Golf & Country Club,Rainsville,AL,9,Public
235,Redmont Recreation Club Golf Course,Red Bay,AL,18,Public
236,The Knolls Country Club,Reform,AL,9,Private
237,Roanoke Country Club,Roanoke,AL,9,Public
238,Joe Wheeler State Park Golf Course,Rogersville,AL,18,Municipal
239,Twin Pines Golf Course,Russellville,AL,18,
240,Goose Pond Colony Golf Course,Scottsboro,AL,18,Municipal
241,Goose Pond Plantation Golf Course,Scottsboro,AL,18,Municipal
242,Scottsboro Golf & Country Club,Scottsboro,AL,9,Private
243,Broken Arrow Golf Course,Scottsboro,AL,18,Public
244,Selma Country Club,Selma,AL,18,
245,Craig Golf Course,Selma,AL,9,Public
246,Occidental Chemical Co. Golf Course,Sheffield,AL,9,
247,Shoal Creek,Shoal Creek,AL,27,Private
248,TimberCreek Golf Club,Spanish Fort,AL,54,Public
249,Oak Hill Country Club,Sulligent,AL,9,Private
250,Sylacauga Country Club,Sylacauga,AL,18,Private
251,FarmLinks Golf Club,Sylacauga,AL,18,Public
252,Talladega Municipal Golf Course,Talladega,AL,18,Municipal
253,Timber Ridge Golf Club,Talladega,AL,18,Public
254,Lakeside Country Club,Tallassee,AL,18,Public
255,Meadowlake Golf Course,Theodore,AL,9,Public
256,Pineview Country Club,Thomasville,AL,9,Private
257,Troy Country Club,Troy,AL,9,Private
258,Trojan Oaks Golf Course,Troy,AL,9,Public
259,Trussville Country Club,Trussville,AL,18,Public
260,Ol' Colony Golf Complex,Tuscaloosa,AL,18,Municipal
261,Woodland Forrest Country Club,Tuscaloosa,AL,18,Private
262,Country Club of Tuscaloosa,Tuscaloosa,AL,18,
263,Indian Hills Country Club,Tuscaloosa,AL,18,
264,NorthRiver Yacht Club,Tuscaloosa,AL,18,
265,The Links At Tuscaloosa,Tuscaloosa,AL,18,Public
266,Spring Creek Golf Course,Tuscumbia,AL,9,Municipal
267,Tennessee Valley Country Club,Tuscumbia,AL,9,Private
268,Cherokee Ridge Country Club,Union Grove,AL,18,
269,Union Springs Country Club,Union Springs,AL,9,Private
270,Valley Grande Golf Club,Valley Grande,AL,18,Public
271,Rolling Hills Golf Course,Valley,AL,9,Public
272,Old Overton Club,Vestavia Hills,AL,18,Private
273,Emerald Mountain Golf Club,Wetumpka,AL,18,Public
274,Quail Walk Country Club,Wetumpka,AL,18,Public
275,Sumter Country Club,York,AL,9,Private
276,Eagle Crest Golf Course,Alma,AR,18,Public
277,River Valley Golf Course,Alma,AR,18,Public
278,Turtle Pointe Golf Club,Arkadelphia,AR,18,Public
279,Millwood Landing Golf & R V  Resort,Ashdown,AR,18,Public
280,Southern Fairways LLC,Ashdown,AR,18,Public
281,Cypress Creek Country Club,Augusta,AR,9,Private
282,Bald Knob Country Club,Bald Knob,AR,9,Public
283,Deer Trails Golf Course,Barling,AR,9,Public
284,Batesville Municipal Golf Course,Batesville,AR,9,Municipal
285,Batesville Country Club,Batesville,AR,9,Private
286,The Course At Eagle Mountain,Batesville,AR,18,Public
287,Bella Vista Country Club,Bella Vista,AR,126,Private
288,Longhills Golf Club,Benton,AR,18,Public
289,Silver Springs Country Club,Benton,AR,18,Public
290,Links At Bentonville Golf & Athletic Club,Bentonville,AR,9,Public
291,Carroll County Golf Course,Berryville,AR,9,Public
292,De Gray State Park Golf Course,Bismarck,AR,18,Municipal
293,Caddo Creek Golf Course,Bismarck,AR,9,Public
294,Thunder Bayou Golf Links,Blytheville,AR,18,Municipal
295,Blytheville Country Club,Blytheville,AR,18,Private
296,Cherokee Creek Golf Club,Booneville,AR,18,Public
297,Brinkley Country Club,Brinkley,AR,9,Private
298,Hurricane Golf and Country Club,Bryant,AR,18,
299,Rivercliff Golf Club,Bull Shoals,AR,18,Public
300,Rolling Hills Country Club Inc,Cabot,AR,18,Private
301,Greystone Country Club,Cabot,AR,36,Public
302,Camden Country Club,Camden,AR,18,
303,Highland Golf Course,Camden,AR,9,Public
304,The Creeks Golf Course LLC,Cave Springs,AR,18,Public
305,Cherokee Village North Course,Cherokee Village,AR,18,
306,Cherokee Village South Course,Cherokee Village,AR,18,
307,Pines Golf Club,Clarendon,AR,9,Public
308,Clarksville Country Club,Clarksville,AR,9,Public
309,Red River Golf Club Inc,Clinton,AR,9,Public
310,Centennial Valley Golf Course,Conway,AR,18,
311,Conway Country Club,Conway,AR,18,
312,Cadron Valley Country Club,Conway,AR,9,Public
313,The Greens At Nutters Chapel,Conway,AR,18,Public
314,Victory Lake Golf Course,Corning,AR,9,Municipal
315,Prairie Country Club,Crossett,AR,9,Private
316,Chamberlyne Country Club,Danville,AR,18,Public
317,Lions Den Golf Club,Dardanelle,AR,18,Public
318,De Queen Country Club and Lodge,De Queen,AR,18,Private
319,Oak Hills Country Club,De Witt,AR,9,Private
320,Diamond Hills Country Club,Diamond City,AR,18,Public
321,Tannenbaum Golf Club,Drasco,AR,18,Public
322,Lions Club Municipal Golf Course,El Dorado,AR,18,Municipal
323,El Dorado Golf & Country Club,El Dorado,AR,18,Private
324,The Resurrection Course at Mystic Creek,El Dorado,AR,,Public
325,England Country Club,England,AR,9,Private
326,Indian Hills Country Club,Fairfield Bay,AR,18,Private
327,Mountain Ranch Golf Club,Fairfield Bay,AR,18,Public
328,Golf Club At Valley View,Farmington,AR,18,Public
329,Fayetteville Country Club,Fayetteville,AR,18,Private
330,Paradise Valley Athletic Club,Fayetteville,AR,18,Private
331,Blessings Golf Club,Fayetteville,AR,18,
332,Lakeside Par 3,Fayetteville,AR,9,Public
333,Razorback Park Golf Course,Fayetteville,AR,18,Public
334,Stonebridge Meadows Golf Club,Fayetteville,AR,18,Public
335,The Links At Fayetteville,Fayetteville,AR,9,Public
336,Fordyce Country Club,Fordyce,AR,9,Private
337,Forrest City Country Club,Forrest City,AR,18,Private
338,Ridgecrest Country Club,Forrest City,AR,9,Private
339,Ben Geren Regional Park Golf Course,Fort Smith,AR,45,Municipal
340,Fianna Hills Country Club,Fort Smith,AR,18,
341,Hardscrabble Country Club,Fort Smith,AR,18,
342,Fort Smith Country Club,Fort Smith,AR,9,Public
343,The First Tee of Fort Smith  The Jack Stephens Yo,Fort Smith,AR,9,Public
344,The Links of Fort Smith,Fort Smith,AR,9,Public
345,Glenwood Country Club,Glenwood,AR,18,Public
346,Persimmon Ridge Golf Club,Greenbrier,AR,9,Public
347,Vache Grasse Country Club,Greenwood,AR,18,Public
348,Red Martin Country Club,Gurdon,AR,9,Private
349,Harrison Country Club,Harrison,AR,18,Public
350,The Links At Harrison,Harrison,AR,9,Public
351,Grand Prairie Country Club,Hazen,AR,9,Public
352,Red Apple Inn & Country Club,Heber Springs,AR,18,
353,Lost Creek Golf Club,Heber Springs,AR,18,Public
354,Riverland Country Club,Heber Springs,AR,9,Public
355,Thunderbird Country Club,Heber Springs,AR,9,Public
356,Holiday Island Golf Course,Holiday Island,AR,27,Public
357,Hope Country Club,Hope,AR,18,Private
358,Cedar Glade Golf Club,Horseshoe Bend,AR,18,Public
359,The Course At Turkey Mountain,Horseshoe Bend,AR,18,Public
360,Belvedere Country Club,Hot Springs National Park,AR,18,Public
361,Balboa Golf Course,Hot Springs Village,AR,18,Private
362,Coronado Golf Course,Hot Springs Village,AR,18,Private
363,Cortez Golf Course,Hot Springs Village,AR,27,Private
364,DeSoto Golf Course,Hot Springs Village,AR,18,Private
