id,name,city,state,holes,access
4404,Shaw Creek Golf Course,Bushnell,IL,9,Public
4405,PrairieView Golf Course,Byron,IL,18,Municipal
4406,The Prairies,Cahokia,IL,18,Municipal
4407,River Oaks Golf Course,Calumet City,IL,18,Municipal
4408,Valley View Club,Cambridge,IL,18,Private
4409,Arrowhead Heights Golf Course,Camp Point,IL,18,Public
4410,Canton Country Club,Canton,IL,18,Public
4411,Beaver Creek Golf Course,Capron,IL,9,Public
4412,Hickory Ridge Public Golf Ctr,Carbondale,IL,18,Municipal
4413,Carlinville Country Club,Carlinville,IL,9,Private
4414,Carlyle Lake Golf Club,Carlyle,IL,9,Public
4415,Governor's Run Golf Course,Carlyle,IL,36,Public
4416,Carmi Country Club,Carmi,IL,9,Public
4417,Bonnie Dundee Golf Club,Carpentersville,IL,18,Municipal
4418,Lone Oak Golf Course,Carrollton,IL,18,Public
4419,Crab Orchard Golf Club,Carterville,IL,18,Public
4420,Carthage Golf Course,Carthage,IL,9,Public
4421,Foxford Hills Golf Club,Cary,IL,18,Municipal
4422,Cary Country Club,Cary,IL,18,Public
4423,Chalet Hills Golf Club,Cary,IL,18,Public
4424,Casey Country Club,Casey,IL,9,Public
4425,Far Oaks Golf Club,Caseyville,IL,18,Public
4426,TTI Golf Club,Cave In Rock,IL,9,Public
4427,Flying M Ranch Golf Club,Centralia,IL,9,Public
4428,Greenview Golf Club,Centralia,IL,18,Public
4429,Meadow Woods Golf Course,Centralia,IL,9,Public
4430,Champaign Country Club,Champaign,IL,18,Private
4431,Lincolnshire Fields Country Club,Champaign,IL,18,Private
4432,The Legends of Champaign,Champaign,IL,9,Public
4433,Heritage Bluffs Public Golf Course,Channahon,IL,18,Municipal
4434,Charleston Country Club,Charleston,IL,18,Private
4435,Bent Tree Golf Course,Charleston,IL,18,Public
4436,Newburg Village Golf Club,Cherry Valley,IL,9,Public
4437,Chester Country Club,Chester,IL,9,Public
4438,Chicago Heights Park District Golf Course East,Chicago Heights,IL,9,Municipal
4439,Chicago Heights Park District Golf Course West,Chicago Heights,IL,9,Municipal
4440,Billy Caldwell Golf Course,Chicago,IL,9,Municipal
4441,Columbus Park Golf Course,Chicago,IL,9,Municipal
4442,Edgebrook Golf Course,Chicago,IL,18,Municipal
4443,Indian Boundary Golf Course,Chicago,IL,18,Municipal
4444,Jackson Park Golf Course,Chicago,IL,18,Municipal
4445,Marquette Park Golf Course,Chicago,IL,9,Municipal
4446,Robert Black Golf Course,Chicago,IL,9,Municipal
4447,South Shore Cultural Ctr. Golf Course,Chicago,IL,9,Municipal
4448,Sydney R Marovitz Golf Course,Chicago,IL,9,Municipal
4449,Ridge Country Club,Chicago,IL,18,Private
4450,Ridgemoor Country Club,Chicago,IL,18,Private
4451,Beverly Country Club,Chicago,IL,18,
4452,Harborside International Golf Center,Chicago,IL,36,Public
4453,Hinsdale Golf Club,Clarendon Hills,IL,18,
4454,Clinton Country Club,Clinton,IL,9,Private
4455,Oakwood Country Club,Coal Valley,IL,18,Private
4456,Gold Hills Golf Course,Colchester,IL,18,Public
4457,Columbia Golf Club,Columbia,IL,18,Public
4458,Fairfield Golf Club,Columbia,IL,18,Public
4459,River Lakes Golf Course,Columbia,IL,18,Public
4460,The Bridges Golf Club,Columbia,IL,18,Public
4461,Flagg Creek Golf Course,Countryside,IL,9,Municipal
4462,Lincolnshire Country Club,Crete,IL,18,Private
4463,Balmoral Woods Golf Club,Crete,IL,18,Public
4464,Lincoln Oaks Golf Course,Crete,IL,18,Public
4465,Longwood Country Club,Crete,IL,18,Public
4466,Tuckaway Golf Club,Crete,IL,18,Public
4467,Crystal Lake Country Club,Crystal Lake,IL,18,Private
4468,Turnberry Country Club,Crystal Lake,IL,18,Private
4469,Old Top Farm Golf Course,Crystal Lake,IL,9,Public
4470,Wee Ma Tuk Hills Country Club,Cuba,IL,18,Private
4471,Cottonwood Hills Golf Club,Cuba,IL,9,Public
4472,Oak Run Golf Course,Dahinda,IL,18,Public
4473,Harrison Park Golf Course,Danville,IL,18,Municipal
4474,Danville Country Club,Danville,IL,18,
4475,Back 9,Danville,IL,9,Public
4476,Turtle Run Golf Club,Danville,IL,18,Public
4477,Wolf Creek Golf Club,Danville,IL,9,Public
4478,Carriage Greens Country Club,Darien,IL,18,Public
4479,Nelson Park Golf Course,Decatur,IL,18,Municipal
4480,Red Tail Run Golf Club,Decatur,IL,18,Municipal
4481,Scovill Golf Club,Decatur,IL,18,Municipal
4482,Country Club of Decatur,Decatur,IL,18,Private
4483,South Side Country Club,Decatur,IL,18,Private
4484,Deer Valley Country Club,Deer Grove,IL,27,Public
4485,Deerfield Golf Club,Deerfield,IL,18,Municipal
4486,Briarwood Country Club,Deerfield,IL,18,Private
4487,Buena Vista Golf Course,DeKalb,IL,9,Municipal
4488,River Heights Golf Club,Dekalb,IL,18,Municipal
4489,Kishwaukee Country Club,DeKalb,IL,18,Private
4490,Prairie Pines Golf Course,Dekalb,IL,9,Public
4491,Golf Center Par 3 Golf Course,Des Plaines,IL,9,Municipal
4492,Lake Park Golf Course,Des Plaines,IL,18,Municipal
4493,Miller Golf Complex,Dixon,IL,18,Municipal
4494,Lost Nation Golf Club,Dixon,IL,18,Public
4495,Timber Creek Golf,Dixon,IL,18,Public
4496,Downers Grove Golf Club,Downers Grove,IL,9,Municipal
4497,Randall Oaks Golf Club,Dundee,IL,18,Municipal
4498,Dwight Country Club,Dwight,IL,18,Public
4499,Earlville Country Club,Earlville,IL,9,Public
4500,Lacoma Golf Club,East Dubuque,IL,45,Public
4501,Short Hills Country Club,East Moline,IL,27,Private
4502,Golfmohr Golf Club,East Moline,IL,18,Public
4503,Red Dog Run Golf Course,East Moline,IL,9,Public
4504,Fon du Lac Golf Course,East Peoria,IL,9,Municipal
4505,Grand Marais Golf Course,East Saint Louis,IL,18,Municipal
4506,Arrowhead Country Club,Edelstein,IL,18,Private
4507,Sunset Hills Country Club,Edwardsville,IL,18,Private
4508,American Legion Post Golf Course,Edwardsville,IL,9,Public
4509,Fox Creek Golf Club,Edwardsville,IL,18,Public
4510,Oak Brook Golf Club,Edwardsville,IL,45,Public
4511,Effingham Country Club,Effingham,IL,18,Private
4512,Cardinal Golf Course,Effingham,IL,18,Public
4513,Fore Way Golf Course,Effingham,IL,9,Public
4514,El Paso Golf Club,El Paso,IL,18,Public
4515,Hughes Creek Golf Course,Elburn,IL,18,Public
4516,Saline County Golf & Country Club,Eldorado,IL,18,Public
4517,Bowes Creek Country Club,Elgin,IL,18,Municipal
4518,The Highlands of Elgin,Elgin,IL,18,Municipal
4519,Wing Park Golf Course,Elgin,IL,9,Municipal
4520,Elgin Country Club,Elgin,IL,18,Private
4521,Rolling Knoll Golf Club,Elgin,IL,18,Public
4522,Fox Run Golf Links,Elk Grove Village,IL,18,Municipal
4523,River Forest Country Club,Elmhurst,IL,18,Private
4524,Maple Lane Country Club,Elmwood,IL,9,Private
4525,Lake Erie Country Club,Erie,IL,9,Public
4526,High Point Golf Club,Essex,IL,9,Public
4527,Kaufman Park Golf Course,Eureka,IL,9,Public
4528,Frank Govern Memorial Golf Course,Evanston,IL,18,Municipal
4529,Evergreen Golf & Country Club,Evergreen Park,IL,18,Public
4530,Indian Creek Golf & Country Club,Fairbury,IL,9,Public
4531,Fairfield Country Club,Fairfield,IL,18,Public
4532,Indian Mounds Golf Club,Fairmont City,IL,18,Public
4533,Blue Needles Golf Course,Fairmount,IL,18,Public
4534,Stonewolf Golf Club,Fairview Heights,IL,18,Public
4535,Woodlawn Country Club,Farmer City,IL,9,Public
4536,Indian Springs Golf Club,Fillmore,IL,18,Public
4537,Eagle Creek Resort Golf Course,Findlay,IL,18,Public
4538,Flora Golf and Country Club,Flora,IL,9,Public
4539,Coyote Run Golf Course,Flossmoor,IL,18,Municipal
4540,Flossmoor Country Club,Flossmoor,IL,18,Private
4541,Idlewild Country Club,Flossmoor,IL,18,Private
4542,Hickory Point Golf Course,Forsyth,IL,18,Municipal
4543,Leisure Village Golf Course,Fox Lake,IL,9,Private
4544,Fox Lake Country Club Inc,Fox Lake,IL,18,Public
4545,Square Links,Frankfort,IL,9,Municipal
4546,Prestwick Country Club,Frankfort,IL,18,Private
4547,Green Garden Country Club,Frankfort,IL,36,Public
4548,Park Hills Golf Course,Freeport,IL,36,Municipal
4549,Freeport Country Club,Freeport,IL,18,Private
4550,Fulton Country Club,Fulton,IL,9,Private
4551,Eagle Ridge Inn and Resort,Galena,IL,63,Public
4552,Galena Golf Club,Galena,IL,18,Public
4553,Bunker Links Golf Course,Galesburg,IL,18,Municipal
4554,Lake Bracken Country Club,Galesburg,IL,18,Private
4555,Soangetaha Country Club,Galesburg,IL,18,Private
4556,Geneseo Country Club,Geneseo,IL,9,Private
4557,Country View Golf Course,Geneseo,IL,9,Public
4558,Maple Bluff Golf Club,Geneseo,IL,18,Public
4559,Geneva Golf Club,Geneva,IL,9,Private
4560,Eagle Brook Country Club,Geneva,IL,18,
4561,Mill Creek Golf Club & Academy,Geneva,IL,18,Public
4562,Tanna Farms Golf Club,Geneva,IL,36,Public
4563,Oak Club of Genoa,Genoa,IL,18,Public
4564,Railside Golf Club,Gibson City,IL,18,Public
4565,Gillespie Country Club,Gillespie,IL,9,Public
4566,Oak Leaf Country Club,Girard,IL,9,Public
4567,Village Links of Glen Ellyn,Glen Ellyn,IL,27,Municipal
4568,Glen Oak Country Club,Glen Ellyn,IL,18,Private
4569,Glencoe Golf Club,Glencoe,IL,18,Municipal
4570,Lake Shore Country Club,Glencoe,IL,18,Private
4571,Skokie Country Club,Glencoe,IL,18,
4572,Glendale Lakes Golf Club,Glendale Heights,IL,18,Municipal
4573,Glenview National Golf Course,Glenview,IL,9,Municipal
4574,Glenview Park Golf Club,Glenview,IL,18,Municipal
4575,North Shore Country Club,Glenview,IL,18,Private
4576,Valley Lo Club,Glenview,IL,18,Private
4577,The Glen Club,Glenview,IL,18,Public
4578,Glenwoodie Golf Course,Glenwood,IL,18,Municipal
4579,Lockhaven Country Club,Godfrey,IL,18,Private
4580,Rolling Hills Golf Course,Godfrey,IL,27,Public
4581,Glen View Club,Golf,IL,18,
4582,Arlington Greens Golf Course,Granite City,IL,18,Municipal
4583,The Legacy Golf Course,Granite City,IL,18,Municipal
4584,Rivers' Edge Golf Course,Granite City,IL,9,Public
4585,Minne Monesse Golf Club,Grant Park,IL,18,Public
4586,Brae Loch Country Club,Grayslake,IL,18,Municipal
4587,Grayslake Golf Course,Grayslake,IL,9,Municipal
4588,Stonewall Orchard Golf Club,Grayslake,IL,18,Public
4589,Willow Glen Golf Course,Great Lakes,IL,18,
4590,Country Hills Golf Course,Greenview,IL,18,Public
4591,Greenville Country Club,Greenville,IL,9,Private
4592,Twin Oaks Golf Club,Greenville,IL,9,Public
4593,Bittersweet Golf Club,Gurnee,IL,18,Public
4594,Heather Ridge Golf Club,Gurnee,IL,9,Public
4595,Deer Run Golf Course,Hamilton,IL,18,Public
4596,Storybrook Country Club,Hanover,IL,18,Public
4597,Shawnee Hills Country Club,Harrisburg,IL,9,Public
4598,Oak Grove Golf Club,Harvard,IL,18,Public
4599,Plum Tree National Golf Course,Harvard,IL,18,Public
4600,Hawthorn Woods Country Club,Hawthorn Woods,IL,18,Private
4601,Crooked Knee Golf Course,Henry,IL,18,Public
4602,Pine Lakes Golf Course,Herrin,IL,18,Public
4603,Hickory Hills Country Club,Hickory Hills,IL,36,Public
4604,Highland Park Country Club,Highland Park,IL,18,Municipal
4605,Sunset Valley Golf Course,Highland Park,IL,18,Municipal
4606,Bob O Link Golf Club,Highland Park,IL,18,Private
4607,Exmoor Country Club,Highland Park,IL,18,
4608,Northmoor Country Club,Highland Park,IL,27,
4609,Old Elm Club,Highland Park,IL,18,
4610,Highland Country Club,Highland,IL,9,Private
4611,Hillsboro Country Club,Hillsboro,IL,9,Private
4612,Fresh Meadow Golf & Practice Center,Hillside,IL,18,Public
4613,Meadow Lark Golf Course,Hinsdale,IL,9,Municipal
4614,Ruth Lake Country Club,Hinsdale,IL,18,Private
4615,Highland Woods Golf Course,Hoffman Estates,IL,18,Municipal
4616,Poplar Creek Country Club,Hoffman Estates,IL,18,Municipal
4617,Hilldale Golf Club,Hoffman Estates,IL,18,Public
4618,Old Oak Country Club,Homer Glen,IL,18,Public
4619,Woodbine Golf Course,Homer Glen,IL,18,Public
4620,Calumet Country Club,Homewood,IL,18,Private
4621,Ravisloe Country Club,Homewood,IL,18,Public
4622,Hubbard Trail Golf & Country Club,Hoopeston,IL,9,Public
4623,Hazy Hills Golf Course,Hudson,IL,9,Public
4624,Pinecrest Golf & Country Club,Huntley,IL,18,Municipal
4625,Whisper Creek Golf Club,Huntley,IL,18,Public
4626,Itasca Country Club,Itasca,IL,18,Private
4627,Eaglewood Conference Resort & Spa,Itasca,IL,18,Public
4628,Links at Jacksonville,Jacksonville,IL,36,Municipal
4629,Jacksonville Country Club,Jacksonville,IL,18,
4630,Northridge Hills Golf Course,Jacksonville,IL,9,Public
4631,Westlake Country Club,Jerseyville,IL,9,Private
4632,Wolves Crossing Golf Club,Jerseyville,IL,18,Public
4633,Star Dust Golf Course,Johnston City,IL,9,Public
4634,Inwood Municipal Golf Course,Joliet,IL,18,Municipal
4635,Woodruff Golf Course,Joliet,IL,18,Municipal
4636,Joliet Country Club,Joliet,IL,18,Private
4637,Kankakee Country Club,Kankakee,IL,18,
4638,Summertime Nine Golf Course,Kell,IL,9,Public
4639,Baker Park Golf Course,Kewanee,IL,18,Municipal
4640,Kewanee Dunes,Kewanee,IL,18,Public
4641,Crane Creek Golf Club,Kilbourne,IL,18,Public
4642,Kemper Lakes Golf Course,Kildeer,IL,18,
4643,Laurel Greens Golf Course,Knoxville,IL,45,Public
4644,Lake Calhoun Golf Course,La Fayette,IL,9,Private
4645,Edgewood Valley Country Club,La Grange,IL,18,Private
4646,La Grange Country Club,La Grange,IL,18,
4647,Lamoine Valley Golf Club,La Harpe,IL,9,Municipal
4648,Senica's Oak Ridge Golf Club,La Salle,IL,18,Public
4649,Lacon Country Club,Lacon,IL,9,Public
4650,Lake Bluff Golf Club,Lake Bluff,IL,18,Municipal
4651,Shore Acres,Lake Bluff,IL,18,Private
4652,Lake Carroll Golf Course,Lake Carroll,IL,18,Public
4653,Deerpath Golf Course,Lake Forest,IL,18,Municipal
4654,Onwentsia Club,Lake Forest,IL,18,Private
4655,Conway Farms Golf Club,Lake Forest,IL,18,
4656,Knollwood Club,Lake Forest,IL,18,
4657,Boulder Ridge Country Club,Lake In The Hills,IL,27,
4658,Crystal Highlands,Lake In The Hills,IL,9,Public
4659,Hickory Knoll Golf Course,Lake Villa,IL,9,Public
4660,Lake Zurich Golf Club,Lake Zurich,IL,9,Private
4661,Lakemoor Golf Course,Lakemoor,IL,18,Public
4662,Lansing Country Club,Lansing,IL,18,Private
4663,Lawrence County Country Club,Lawrenceville,IL,9,Private
4664,LeRoy Country Club,Le Roy,IL,9,Public
4665,Locust Hills Golf Club,Lebanon,IL,18,Public
4666,Cog Hill Golf & Country Club,Lemont,IL,72,Public
4667,Gleneagles Country Club,Lemont,IL,36,Public
4668,Mid Iron Club Inc,Lemont,IL,9,Public
4669,Ruffled Feathers Golf Club,Lemont,IL,18,Public
4670,Stagecoach Golf Course,Lena,IL,9,Public
4671,Wolf Hollow Golf,Lena,IL,18,Public
4672,Libertyville Golf Course,Libertyville,IL,9,Municipal
4673,The Merit Club,Libertyville,IL,18,Private
4674,Lincoln Elks Country Club,Lincoln,IL,18,Public
4675,Crane's Landing At Marriott's Lincolnshire Resort,Lincolnshire,IL,18,Public
4676,Bryn Mawr Country Club,Lincolnwood,IL,18,Private
4677,River Bend Golf Club,Lisle,IL,9,Municipal
4678,Litchfield Country Club,Litchfield,IL,9,Private
4679,Prairie Bluff Golf Course,Lockport,IL,18,Municipal
4680,Lockport Golf & Recreation Club,Lockport,IL,9,Private
4681,Big Run Golf Course,Lockport,IL,18,Public
4682,Broken Arrow Golf Club,Lockport,IL,63,Public
4683,Lakeview Country Club,Loda,IL,9,Private
4684,Western Acres Golf Course,Lombard,IL,9,Municipal
4685,Ken Loch Golf Links,Lombard,IL,9,Public
4686,Hillcrest Country Club,Long Grove,IL,18,Private
4687,Twin Orchard Country Club,Long Grove,IL,36,Private
4688,Royal Melbourne,Long Grove,IL,18,
4689,Harry Mussatto Golf Course At Western Illinois Uni,Macomb,IL,18,Public
4690,Macomb Country Club,Macomb,IL,18,Public
4691,Gateway National Golf Links,Madison,IL,18,Public
4692,Lake of the Woods Golf Course,Mahomet,IL,27,Municipal
4693,Midland Hills Golf Course,Makanda,IL,9,Public
4694,Stone Creek Golf Course,Makanda,IL,18,Public
4695,Manteno Golf Courses,Manteno,IL,18,Municipal
4696,Twin Creeks Golf Course,Manville,IL,9,Public
4697,Blackstone Golf Club,Marengo,IL,18,Public
4698,Marengo Ridge Golf Club,Marengo,IL,18,Public
4699,Waters Edge Golf Course,Marengo,IL,18,Public
4700,Lake of Egypt Country Club,Marion,IL,9,Private
4701,Chawnee Golf Club,Marion,IL,9,Public
4702,Kokopelli Golf Club,Marion,IL,18,Public
4703,White Oak Golf Course,Marissa,IL,9,Public
4704,Prairie Lake Golf Club,Marseilles,IL,9,Public
4705,The Bourne,Marseilles,IL,18,Public
4706,Canyata Golf Club,Marshall,IL,18,
4707,Marshall Golf Course,Marshall,IL,9,Public
4708,Stonebridge Golf Club,Maryville,IL,18,Public
4709,Mascoutah Country Club,Mascoutah,IL,9,Public
4710,Four Willows Golf Course,Mason City,IL,9,Public
4711,Mattoon Golf & Country Club,Mattoon,IL,18,Private
4712,Meadow View Golf Course,Mattoon,IL,18,Public
4713,Rogala Public Links,Mattoon,IL,9,Public
4714,Edgewood Park Golf Club,Mc Nabb,IL,18,Public
4715,McHenry Country Club,McHenry,IL,18,Private
4716,Boone Creek Golf Course,McHenry,IL,27,Public
4717,Chapel Hill Country Club,McHenry,IL,18,Public
4718,Pistakee Country Club,McHenry,IL,9,Public
4719,McLeansboro Golf Course,McLeansboro,IL,9,Public
4720,Medinah Country Club,Medinah,IL,54,
4721,Mendota Golf Club,Mendota,IL,18,Public
4722,Metropolis Country Club,Metropolis,IL,18,Private
4723,Midlothian Country Club,Midlothian,IL,18,Private
4724,Indian Bluff Golf Course,Milan,IL,18,Municipal
4725,Pinnacle Country Club,Milan,IL,18,Private
4726,Triple Lakes Golf Course,Millstadt,IL,18,Public
4727,Blue Grass Creek Golf Course,Minier,IL,9,Public
4728,Willow Run Golf Course,Mokena,IL,9,Public
4729,South Shore Golf Course,Momence,IL,18,Public
4730,Golf Vista Estates Golf Course,Monee,IL,9,Public
4731,Monmouth Country Club,Monmouth,IL,9,Private
4732,Gibson Woods Golf Course,Monmouth,IL,18,Public
4733,Monticello Golf Course,Monticello,IL,9,Private
4734,Morris Country Club,Morris,IL,18,
4735,Nettle Creek Country Club,Morris,IL,18,Public
4736,Cross Creek Golf Course,Morrison,IL,9,Public
4737,Prairie Ridge Golf,Morrison,IL,18,Public
4738,Chick Evans Golf Course,Morton Grove,IL,18,Municipal
4739,Egyptian Country Club,Mounds,IL,9,Public
4740,Mt Carmel Municipal Golf Course,Mount Carmel,IL,18,Municipal
4741,Oakville Country Club,Mount Carroll,IL,9,Public
4742,Mt. Prospect Golf Club,Mount Prospect,IL,18,Municipal
4743,Old Orchard Country Club Inc,Mount Prospect,IL,18,Municipal
4744,Crooked Creek Golf Links,Mount Vernon,IL,18,Public
4745,Green Hills Country Club,Mount Vernon,IL,18,Public
4746,Indian Hills Golf Course,Mount Vernon,IL,18,Public
4747,Moweaqua Golf Course,Moweaqua,IL,18,Municipal
4748,Sunset Golf Course,Mt Morris,IL,9,Public
4749,Rolling Greens Country Club,Mt. Sterling,IL,9,Public
4750,Countryside Golf Course,Mundelein,IL,36,Municipal
4751,Steeple Chase Golf Course,Mundelein,IL,18,Municipal
4752,The Ivanhoe Club,Mundelein,IL,27,Private
4753,Four Winds Golf Course,Mundelein,IL,18,Public
4754,Pine Meadow Golf Club,Mundelein,IL,18,Public
4755,Village Green Country Club,Mundelein,IL,18,Public
4756,Jackson Country Club,Murphysboro,IL,18,Public
4757,Springbrook Golf Course,Naperville,IL,18,Municipal
4758,Cress Creek Country Club,Naperville,IL,18,Private
4759,Naperville Country Club,Naperville,IL,18,Private
4760,White Eagle Golf Club,Naperville,IL,45,Private
4761,Country Lakes Golf Club,Naperville,IL,18,Public
4762,Tamarack Golf Club,Naperville,IL,18,Public
4763,Nashville Golf Course,Nashville,IL,9,Municipal
4764,Great River Road Golf Club,Nauvoo,IL,18,Public
4765,Sanctuary Golf Course,New Lenox,IL,18,Municipal
4766,Stone's Throw Golf Course,Newton,IL,18,Public
4767,The Tam O' Shanter Golf Course,Niles,IL,9,Municipal
4768,Ironwood Golf Course,Normal,IL,18,Municipal
4769,Weibring Golf Club at ISU,Normal,IL,18,Public
4770,Fox Valley Golf & Country Club,North Aurora,IL,18,Municipal
4771,Valley Green Golf Course,North Aurora,IL,18,Public
4772,Wynstone Golf Club,North Barrington,IL,18,Private
4773,Foss Park Golf Course,North Chicago,IL,18,Municipal
4774,Riverside Golf Club,North Riverside,IL,18,Private
4775,Sportsman's Country Club,Northbrook,IL,36,Municipal
4776,Green Acres Country Club,Northbrook,IL,18,Private
4777,Mission Hills Country Club,Northbrook,IL,18,
4778,Willowhill Golf Course,Northbrook,IL,9,Public
4779,Anetsberger Golf Course,Northbrook,IL,9,Municipal
4780,Sunset Ridge Country Club,Northfield,IL,18,
4781,Tamarack Country Club,O Fallon,IL,18,Public
4782,Oak Brook Golf Club,Oak Brook,IL,18,Municipal
4783,Butler National Golf Club,Oak Brook,IL,18,Private
4784,Butterfield Country Club,Oak Brook,IL,27,Private
4785,Willow Crest Golf Club,Oak Brook,IL,18,Public
4786,George Dunne National Golf Course,Oak Forest,IL,18,Municipal
4787,Stony Creek Golf Course,Oak Lawn,IL,18,Municipal
4788,Norton Knolls Golf Course,Oakland,IL,9,Public
4789,Deer Park Country Club Inc,Oglesby,IL,18,Private
4790,Roland Barkau Memorial Golf Course,Okawville,IL,18,Public
4791,East Fork Par 3 Golf Course,Olney,IL,9,Public
4792,Richland Country Club,Olney,IL,18,Public
4793,Olympia Fields Country Club,Olympia Fields,IL,36,Private
4794,Shagbark Golf & Country Club,Onarga,IL,9,Public
4795,Brushcreek Golf Course,Orangeville,IL,9,Public
4796,Oregon Country Club,Oregon,IL,9,
4797,Silver Ridge Golf Course,Oregon,IL,18,Public
4798,Champion Executive Golf Course,Orion,IL,9,Public
4799,Crystal Tree Golf & Country Club,Orland Park,IL,18,Private
4800,Palos Country Club,Orland Park,IL,9,Public
4801,Silver Lake Country Club,Orland Park,IL,54,Public
4802,Fox Bend Golf Course,Oswego,IL,18,Municipal
4803,Dayton Ridge Golf Club,Ottawa,IL,9,Public
4804,Pine Hills Golf Club,Ottawa,IL,9,Public
4805,Palatine Hills Golf Course,Palatine,IL,18,Municipal
4806,Twin Lakes Golf Course,Palatine,IL,9,Municipal
4807,Inverness Golf Club,Palatine,IL,18,Private
4808,Terry Park Golf Course,Palmyra,IL,9,Municipal
4809,Oak Hills Country Club,Palos Heights,IL,9,Public
4810,Palos Hills Municipal Golf Course,Palos Hills,IL,9,Municipal
4811,Pana Country Club,Pana,IL,9,Private
4812,Oak Terrace Resort,Pana,IL,18,Public
4813,Sycamore Hills Golf Club,Paris,IL,18,Public
4814,Park Ridge Country Club,Park Ridge,IL,18,Private
4815,Lick Creek Golf Course,Pekin,IL,18,Municipal
4816,Parkview Golf Course,Pekin,IL,18,Municipal
4817,Pekin Country Club,Pekin,IL,18,Private
4818,Sunset Hills Golf Club,Pekin,IL,18,Public
4819,Country Club of Peoria,Peoria Heights,IL,18,
4820,Detweiller Park Golf Course,Peoria,IL,9,Municipal
4821,Howard D. Kellogg Golf Course,Peoria,IL,27,Municipal
4822,Leo Donavan Golf Course,Peoria,IL,18,Municipal
4823,Madison Park Golf Course,Peoria,IL,18,Municipal
4824,Newman Golf Course,Peoria,IL,18,Municipal
4825,Mount Hawley Country Club,Peoria,IL,18,Private
4826,Timber Lake Country Club,Peoria,IL,9,Private
4827,WeaverRidge Golf Club,Peoria,IL,18,Public
4828,Pyramid Oaks Golf Course,Percy,IL,9,Public
4829,South Bluff Country Club,Peru,IL,9,Public
4830,Shambolee Golf Course,Petersburg,IL,18,Public
4831,Old Orchard Country Club,Pittsfield,IL,9,Private
4832,Naperbrook Golf Course,Plainfield,IL,18,Municipal
4833,Wedgewood Golf Course,Plainfield,IL,18,Municipal
4834,The Links at Carillon,Plainfield,IL,45,Public
4835,Cedardell Golf Club,Plano,IL,18,Public
4836,Edgewood Golf Club,Polo,IL,18,Public
4837,Pontiac Elks Country Club,Pontiac,IL,18,Public
4838,Wolf Creek Golf Club,Pontiac,IL,18,Public
4839,Savannah Oaks Golf Club of Candlewick Lake,Poplar Grove,IL,18,Public
4840,Timber Pointe Golf Club,Poplar Grove,IL,18,Public
4841,Byron Hills Golf Course,Port Byron,IL,18,Public
4842,Prairie Isle Golf Course,Prairie Grove,IL,18,Public
4843,Hunters Ridge Golf Course,Princeton,IL,18,Public
4844,Wyaton Hills Golf Course,Princeton,IL,9,Public
4845,Prophet Hills Country Club,Prophetstown,IL,9,Public
4846,Rob Roy Golf Club,Prospect Heights,IL,9,Municipal
4847,Westview Golf Course,Quincy,IL,36,Municipal
4848,Quincy Country Club,Quincy,IL,18,Private
4849,Spring Lake Country Club,Quincy,IL,18,Private
4850,Cedar Crest Country Club,Quincy,IL,18,Public
4851,Knight's of Columbus Par 3 Golf Course,Quincy,IL,9,Public
4852,Ramsey Lake Golf Course,Ramsey,IL,9,Public
4853,Brookhill Golf Course,Rantoul,IL,18,Municipal
4854,Willow Pond Golf Course,Rantoul,IL,18,Public
4855,Shoal Creek Golf Course,Raymond,IL,9,Municipal
4856,North County Country Club,Red Bud,IL,9,Public
4857,Hunter Country Club,Richmond,IL,18,Public
4858,The Windmills Golf Course,Rio,IL,9,Public
4859,Oak Park Country Club,River Grove,IL,18,
4860,Joe Louis the Champ Golf Course,Riverdale,IL,18,Municipal
4861,Ravinia Green Country Club,Riverwoods,IL,18,
4862,Deer Run/Mary Heath Mem. Golf Course,Robinson,IL,9,Municipal
4863,Quail Creek Country Club,Robinson,IL,18,Private
4864,Oak Glen Golf Course Inc,Robinson,IL,18,Public
4865,Rochelle Country Club Inc,Rochelle,IL,18,Private
4866,Rock River Country Club,Rock Falls,IL,18,
4867,Highland Springs Golf Course,Rock Island,IL,18,Municipal
4868,Saukie Municipal Golf Course,Rock Island,IL,18,Municipal
4869,Rock Island Arsenal Golf Club,Rock Island,IL,18,Private
4870,Aldeen Golf Course,Rockford,IL,18,Municipal
4871,Atwood Homestead Golf Course,Rockford,IL,18,Municipal
4872,Elliot Golf Course,Rockford,IL,18,Municipal
4873,Ingersoll Golf Course,Rockford,IL,18,Municipal
4874,Sandy Hollow Golf Course,Rockford,IL,18,Municipal
4875,Sinnissippi Park Golf Course,Rockford,IL,9,Municipal
4876,Mauh Nah Tee See Country Club,Rockford,IL,18,Private
4877,Rockford Country Club,Rockford,IL,18,Private
4878,Forest Hills Country Club,Rockford,IL,18,
4879,Alpine Hills Golf Club,Rockford,IL,9,Public
4880,Macktown Golf Course,Rockton,IL,18,Municipal
4881,Barwood Golf Course,Rockton,IL,9,Public
4882,Red Barn Golf Course,Rockton,IL,9,Public
4883,Sugar River Greens,Rockton,IL,9,Public
4884,Mistwood Golf Club,Romeoville,IL,18,Public
4885,Ledges Golf Course,Roscoe,IL,18,Municipal
4886,Renwood Golf Course,Round Lake Beach,IL,18,Municipal
4887,Scripps Park Golf Course,Rushville,IL,18,Municipal
